"m","ej","lp","wp","sp","ll","wl","hl","wlDll","wpDwl","wpDlp","lpDll","spDwp","wlDhl","num","nci","cul","med","ret","max","mic"
"x10",2,0.295,0.109,0.079,3.285,1.831,1.493,0.557,0.06,0.369,0.09,0.725,1.226,"53a","Citrus australasica F. Muell. var. australasica (= Microcitrus australasica (F. Muell.) Swingle)","Rainforest Diamond",0,0,0,0
"x10",5,0.295,0.121,0.082,3.159,1.954,1.317,0.619,0.062,0.41,0.093,0.678,1.484,"53a","Citrus australasica F. Muell. var. australasica (= Microcitrus australasica (F. Muell.) Swingle)","Rainforest Diamond",0,0,0,0
"y1",1,0.624,0.267,0.105,5.364,3.073,2.969,0.573,0.087,0.428,0.116,0.393,1.035,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"y1",2,0.785,0.205,0.13,6.28,3.332,3.661,0.531,0.062,0.261,0.125,0.634,0.91,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"y1",6,0.876,0.355,0.122,6.419,3.575,3.353,0.557,0.099,0.405,0.136,0.344,1.066,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"y2",1,2.134,0.798,0.145,7.81,4.667,3.954,0.598,0.171,0.374,0.273,0.182,1.18,"103","Citrus maxima (Burm.) Merr. ","C. grandis ""d'Ischia"" ",0,0,1,0
"y2",2,1.923,0.653,0.12,7.879,4.962,4.083,0.63,0.132,0.34,0.244,0.184,1.215,"103","Citrus maxima (Burm.) Merr. ","C. grandis ""d'Ischia"" ",0,0,1,0
"y2",3,2.484,0.987,0.167,9.287,6.19,4.823,0.667,0.159,0.397,0.267,0.169,1.283,"103","Citrus maxima (Burm.) Merr. ","C. grandis ""d'Ischia"" ",0,0,1,0
"y3",2,0.78,0.207,0.186,8.256,4.806,3.727,0.582,0.043,0.265,0.094,0.899,1.29,"2","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Quatre Saisons",1,1,1,0
"y3",5,0.53,0.109,0.097,5.668,2.604,3.029,0.459,0.042,0.206,0.094,0.89,0.86,"2","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Quatre Saisons",1,1,1,0
